run_tag,script,dataset,n_molecules,steps,seed,final_train_loss,passed,git,task,split,label_budget,ssl_method,n_seeds,test_auroc_mean,test_auroc_std,test_ece_mean,n_train,test_rmse_mean,test_rmse_std,n_pool_dropped,final_mask_loss,random_auroc_mean,inflation_auroc_mean
0903_1610_tox21_2x2_node_graph_1.0,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,1.0,node_graph,5,0.7683978254231578,0.013202691463380536,,6258,,,,,,
0903_1750_tox21_2x2_full_none_0.05,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.05,none,5,0.6214544530057899,0.044229300126225723,,313,,,,,,
0903_1750_tox21_2x2_full_none_0.1,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.1,none,5,0.6253482620422895,0.029069757127903696,,626,,,,,,
0903_1750_tox21_2x2_full_none_0.25,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.25,none,5,0.6937225046598579,0.011394142485099958,,1564,,,,,,
0903_1750_tox21_2x2_full_none_0.5,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.5,none,5,0.7083451565505485,0.0197889688589888,,3129,,,,,,
0903_1750_tox21_2x2_full_none_1.0,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,1.0,none,5,0.7292649071354251,0.006274854472381391,,6258,,,,,,
0903_1750_tox21_2x2_full_node_0.05,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.05,node,5,0.6368362242801656,0.027697382201356063,,313,,,,,,
0903_1750_tox21_2x2_full_node_0.1,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.1,node,5,0.6630724069495517,0.031554901240207066,,626,,,,,,
0903_1750_tox21_2x2_full_node_0.25,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.25,node,5,0.6879287700900873,0.01810398793208828,,1564,,,,,,
0903_1750_tox21_2x2_full_node_0.5,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.5,node,5,0.7193552280459159,0.007334372551592016,,3129,,,,,,
0903_1750_tox21_2x2_full_node_1.0,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,1.0,node,5,0.75049124686021,0.01058037412310234,,6258,,,,,,
0903_1750_tox21_2x2_full_graph_0.05,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.05,graph,5,0.6744681202614821,0.020803569779053777,,313,,,,,,
0903_1750_tox21_2x2_full_graph_0.1,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.1,graph,5,0.6969774776524654,0.01959674879314907,,626,,,,,,
0903_1750_tox21_2x2_full_graph_0.25,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.25,graph,5,0.7228807396537749,0.007986553500683159,,1564,,,,,,
0903_1750_tox21_2x2_full_graph_0.5,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.5,graph,5,0.7502392922484813,0.007395576768233595,,3129,,,,,,
0903_1750_tox21_2x2_full_graph_1.0,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,1.0,graph,5,0.7570755627043073,0.011984599018036016,,6258,,,,,,
0903_1750_tox21_2x2_full_node_graph_0.05,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.05,node_graph,5,0.6936296674626403,0.030739464518148144,,313,,,,,,
0903_1750_tox21_2x2_full_node_graph_0.1,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.1,node_graph,5,0.7167814134241615,0.011847203785645214,,626,,,,,,
0903_1750_tox21_2x2_full_node_graph_0.25,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.25,node_graph,5,0.7300171637456149,0.013764308196162601,,1564,,,,,,
0903_1750_tox21_2x2_full_node_graph_0.5,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,0.5,node_graph,5,0.7553614423233395,0.011981819042947615,,3129,,,,,,
0903_1750_tox21_2x2_full_node_graph_1.0,run_label_budget_sweep,Tox21,,,,,,e686ddf,classification,scaffold,1.0,node_graph,5,0.7676421525405112,0.017933701768664607,,6258,,,,,,
